,日,平均気圧,海面気圧,降水量,最大１,最大10,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,風向1,最大瞬間風速,風向２,日照時間,雪,値,昼,夜,月,年
95,6,1001.6,1005.9,2.0,2.0,1.0,12.7,16.5,8.6,76,43,3.6,10.4,北北西,19.0,北西,0.2,--,--,曇一時雨,一時雨,4,1981
96,7,1010.7,1015.0,--,--,--,14.4,19.3,9.1,28,17,6.3,12.8,北北西,18.7,北北西,11.5,--,--,晴,降水なし,4,1981
97,8,1024.0,1028.4,--,--,--,11.9,15.4,8.7,36,26,3.1,6.5,北,9.7,北,11.1,--,--,晴,降水なし,4,1981
98,9,1020.9,1025.2,0.0,0.0,0.0,13.7,17.8,8.7,52,44,3.3,6.3,南,10.5,南,6.7,--,--,晴,時々雨,4,1981
99,10,1002.6,1006.8,19.5,6.0,2.0,13.4,15.9,11.1,81,61,2.8,8.3,北北西,13.1,北北西,1.0,--,--,曇時々雨,降水なし,4,1981
100,11,1002.0,1006.2,--,--,--,17.9,23.3,10.8,58,32,2.6,6.5,南,9.7,南,11.4,--,--,晴,降水なし,4,1981
101,12,1007.6,1011.9,--,--,--,16.3,20.8,13.1,56,46,2.8,6.0,南東,9.4,南東,9.1,--,--,晴,時々雨,4,1981
102,13,1005.3,1009.6,8.0,4.5,1.5,11.2,16.4,6.0,71,57,3.5,7.1,東,12.0,東,--,--,--,曇時々雨,時々雨,4,1981
103,14,1013.5,1017.8,--,--,--,11.6,16.3,5.6,62,30,3.3,7.2,北北西,14.3,北北西,11.3,--,--,晴,降水なし,4,1981
104,15,1014.8,1019.1,--,--,--,14.9,17.9,10.0,37,20,4.0,8.1,北西,15.4,北北西,9.1,--,--,晴,時々雨,4,1981
105,16,998.7,1003.0,21.5,5.0,1.5,11.5,15.5,10.3,81,62,3.2,7.0,北北西,12.4,北北西,--,--,--,雨,一時雨,4,1981
106,17,1003.6,1007.8,0.0,0.0,0.0,13.7,19.4,10.4,42,24,4.7,9.2,北西,16.7,北西,7.6,--,--,晴時々雨,降水なし,4,1981
107,18,1013.7,1018.1,--,--,--,12.2,17.7,8.6,38,24,5.3,12.9,北北西,20.2,北北西,11.2,--,--,晴,降水なし,4,1981
